page,sequence,context,frozen,reviewed,classification,evidence
bnf-f0248,1,opening headword,Goxôuo,Goxǒuo,caron,column-1/sixth-column/t01
bnf-f0248,2,after Saluarſe,Goxô,Goxǒ,caron,column-1/sixth-column/t01
bnf-f0248,3,before goxô tomoni,Conjô,Conjǒ,caron,column-1/sixth-column/t01
bnf-f0248,4,after Conjô,goxô,goxǒ,caron,column-1/sixth-column/t01
bnf-f0248,5,Itçutçuno ſauari headword,Goxô,Goxǒ,caron,column-1/sixth-column/t02
bnf-f0248,6,Paços do Cubô headword,Goxô,Goxo,no_mark,column-1/sixth-column/t02
bnf-f0248,7,Paços do Cubô,Cubô,Cubǒ,caron,column-1/sixth-column/t02
bnf-f0248,8,O meſmo Cubô,Cubô,Cubǒ,caron,column-1/sixth-column/t02
bnf-f0248,9,jenxo headword,Goxô,Goxǒ,caron,column-1/sixth-column/t02
bnf-f0248,10,Acugôno entry headword,Goxxô,Goxxǒ,caron,column-1/sixth-column/t03
bnf-f0248,11,after Goxxô,Acugôno,Acugôno,circumflex,column-1/sixth-column/t03
bnf-f0248,12,Tçuyoi yen headword,Gôyei,Gǒyen,caron,column-1/sixth-column/t03
bnf-f0248,13,example under Gôyei,Gôyeiuo,Gǒyẽuo,caron,column-1/sixth-column/t03
bnf-f0248,14,Neceſſidade headword,Goyô,Goyô,circumflex,column-1/sixth-column/t04
bnf-f0248,15,Itçutçuno fa headword,Goyô,Goyô,circumflex,column-1/sixth-column/t04
bnf-f0248,16,matçu example,Goyôno,Goyôno,circumflex,column-1/sixth-column/t04
bnf-f0248,17,Cinco partes headword,Gozô,Gozǒ,caron,column-1/sixth-column/t06
bnf-f0248,18,Baço gloss,cannozô,cannozǒ,caron,column-1/sixth-column/t06
bnf-f0248,19,Coração gloss,xinnozô,xinnozǒ,caron,column-1/sixth-column/t06
bnf-f0248,20,Figado gloss,finozô,finozǒ,caron,column-1/sixth-column/t06
bnf-f0248,21,Bofes gloss,fainozô,fainozǒ,caron,column-1/sixth-column/t06
bnf-f0248,22,Rins gloss,jinnozô,jinnozǒ,caron,column-2/sixth-column/t01
bnf-f0248,23,Entranhas headword,Gozôroppu,Gozǒroppu,caron,column-2/sixth-column/t01
bnf-f0248,24,algoz list,afô,afǒ,caron,column-2/sixth-column/t02
bnf-f0248,25,GV expansion,Dôgu,Dǒgu,caron,column-2/sixth-column/t02
bnf-f0248,26,Guni auanu example,dôgu,dǒgu,caron,column-2/sixth-column/t03
bnf-f0248,27,Guni example,tarôta,tarǒta,caron,column-2/sixth-column/t03
bnf-f0248,28,Faluno ne headword,Gûcan,Gǔcon,caron,column-2/sixth-column/t05
bnf-f0643,1,opening headword,Zzubôxi,Zzubôxi,circumflex,glyph-samples/bnf-f0643-circumflex-zzuboxi.jpg
bnf-f0643,2,Cucuruta headword,Zzuchô,Zzuchǒ,caron,f0643.jpg crop [150 430 1050 730]
bnf-f0643,3,Yamano example,zzuchô,zzuchǒ,caron,f0643.jpg crop [150 430 1050 730]
bnf-f0643,4,Ienxus Bonzo name,Ienxûs,Ienxùs,grave,glyph-samples/bnf-f0643-grave-ienxus.jpg
bnf-f0643,5,Certa doença headword,Zzufû,Zzufǔ,caron,glyph-samples/bnf-f0643-caron-zzufu-zzujo.jpg
bnf-f0643,6,vocotta example,Zzufûga,Zzufǔga,caron,glyph-samples/bnf-f0643-caron-zzufu-zzujo.jpg
bnf-f0643,7,Itadaquino uye headword,Zzujô,Zzujǒ,caron,glyph-samples/bnf-f0643-caron-zzufu-zzujo.jpg
bnf-f0643,8,anotomia headword,Zzuqijô,Zzuqiǒ,caron,f0643.jpg right-column crop
bnf-f0643,9,Caxira itamu headword,Zzurçû,Zzutçǔ,caron,f0643.jpg right-column crop
