page	line	occurrence	base_line_version	decision_basis
f23	c1-l020	1	sha256:dc8412fb696e003a6744508e00f0745fb676766c9fb95c32708bccfe5ebd0edd	labeled_control_visual_comparison
f23	c2-l032	1	sha256:e001a7f68a16e2f3b9c798483f3303688b2ee18572db1fa5f6ae77b117d834fe	labeled_control_visual_comparison
f24	c1-l032	1	sha256:d0f7b23d6c2aca63683a744834f1ee886d9d31fa545a5c9203e0337f87189d8c	labeled_control_visual_comparison
f24	c2-l022	1	sha256:11b454bb5aba80bf33a0ab6ed3a2dbe0421828dc5366672e32456d37edd9c966	labeled_control_visual_comparison
f24	c2-l028	1	sha256:3a647cf554dd1eacc5a471513d56506d9234cb443a23472ca60e5bcfa375f755	labeled_control_visual_comparison
f24	c2-l039	1	sha256:c9d57958c61d3d4e946770f557a95d16c2ab034fdd7423f10e047bf2e3d1859f	labeled_control_visual_comparison
f24	c2-l043	1	sha256:4c45c89b1eae872c7fd0911f6b7aa1305f98bfcfeb6215be703d59a7033257a2	labeled_control_visual_comparison
f24	c2-l046	1	sha256:28cb83d69d003b979a570ab9846f24c9121ce6f95c97bc3bae036e26249e7f04	labeled_control_visual_comparison
f25	c1-l034	1	sha256:e1929e8c270d3595aaf7fb080cd02d2e42a4547c9c52773599229f64d506863b	labeled_control_visual_comparison
f25	c2a-l027	1	sha256:8218aa2763e94aa7117cba217367b66234781a8942b7d0a1fb91485736d273cb	labeled_control_visual_comparison
f25	c2a-l033	1	sha256:b77b57c8b7bba4ea460c42569ca3b6ac484638a056c5680fe8238a691113c7bd	labeled_control_visual_comparison
f26	c1-l013	1	sha256:7b279b6b5d961829f0236b1b408b0f8625f8ef826cc2d37e7bb92bea61b0769a	labeled_control_visual_comparison
f26	c1-l026	1	sha256:f939c130d8827a832f00e728b368033551066645701676be2e1a037c4fc58d1d	labeled_control_visual_comparison
f26	c2-l041	1	sha256:2f9fa2d7fd840d904e06020e7316875494879aa68e400230325eba8d8e03b67e	labeled_control_visual_comparison
f27	c1-l013	1	sha256:abcc58b5608af1b7a0fef7595fb470e5870e39933d2b32d4f9774b040ac7baac	labeled_control_visual_comparison
f27	c1-l019	1	sha256:dddac98387e0b3bf6febbfc1d3bd2b9d46cb8661ddb260297d86c0b637281dea	labeled_control_visual_comparison
f27	c2-l038	1	sha256:654e236e907d8f8804b89eea12e4e879c692f94d176735c836f2c29bb1725354	labeled_control_visual_comparison
f27	c2-l045	1	sha256:63749e60b129d355304ec78aa337fa7f78321b5c87160de25d4fc091e3e64048	labeled_control_visual_comparison
f29	c1-l030	1	sha256:e91a033787f56e356a4f9d7c6cf84715ab56fc2fe9d2cff4f27eefe9f3caea96	labeled_control_visual_comparison
f29	c2-l002	1	sha256:c425838b8c8196b0bc65282427343efbaec1f9d1b2ed0f0261f1eb89292f0cd6	labeled_control_visual_comparison
f29	c2-l004	1	sha256:0c67555fb95347d558d193e4b9f0878517c4220b854ba672b04e6e8f41307595	labeled_control_visual_comparison
f29	c2-l005	1	sha256:3a39af9314fd3d8cb3fbb05179b89cbbd07d3b5ab3a7891c6798d258ca0d34ec	labeled_control_visual_comparison
f29	c2-l043	1	sha256:7deeaf6ba342c5370f80038708242e99086bae905c9657280466ba6ed1547962	labeled_control_visual_comparison
f30	c1-l001	1	sha256:0848b43f13b973606d111c555a062d53d0ec532de04c7c978369eee292b93dfb	labeled_control_visual_comparison
f31	c1-l001	1	sha256:c85f06cff65818946f1133877d51385f3e0ee56db0efed0ef6efe24200f1655c	labeled_control_visual_comparison
f32	c1-l029	1	sha256:5821293e7d96ce40c8c00ef83ff5d2c8fd34ae6f6911b5c217d8d6530068c55f	labeled_control_visual_comparison
f32	c1-l034	1	sha256:9cd53b4c804331c917cefb9a804887ddc27abe0f4300ce4e39bff27fee804704	labeled_control_visual_comparison
f32	c2-l042	1	sha256:6a6559d3bb22bd93caed1eb6c27c371edfad65aaf936f63325e1966900890e4f	labeled_control_visual_comparison
