page	line	previous	source	mark_on
bnf-f0014	c1-l044	algũa	algũa	u
bnf-f0014	c2-l029	algũa	algũa	u
bnf-f0014	c2-l039	algũa	algũa	u
bnf-f0014	c2-l042	algũa	algũa	u
bnf-f0015	c1-l010	algũa	algũa	u
bnf-f0016	c1-l008	algũa	algũa	u
bnf-f0016	c1-l010	algũa	algũa	u
bnf-f0016	c1-l032	algũa	algũa	u
bnf-f0016	c1-l034	algũa	algũa	u
bnf-f0016	c2-l046	dalgũa	dalgũa	u
bnf-f0017	c1-l011	dalgũa	dalgũa	u
bnf-f0018	c1-l025	algũa	algũa	u
bnf-f0019	c2b-l009	nalgũa	nalguã	a
bnf-f0019	c2b-l011	algũa	alguã	a
bnf-f0019	c2b-l016	algũa	alguã	a
bnf-f0019	c2b-l030	algũa	alguã	a
bnf-f0020	c1-l007	dalgũa	dalgũa	u
bnf-f0020	c1-l024	algũa	alguã	a
bnf-f0020	c1-l027	algũa	algũa	u
bnf-f0020	c1-l038	dalgũa	dalgũa	u
bnf-f0020	c2-l003	algũa	alguã	a
bnf-f0020	c2-l005	algũa	algũa	u
bnf-f0020	c2-l035	dalgũa	dalgũa	u
bnf-f0020	c2-l038	algũa	algũa	u
bnf-f0021	c2b-l032	algũa	algũa	u
bnf-f0021	c2b-l041	algũa	algũa	u
bnf-f0023	c1-l002	algũa	algũa	u
bnf-f0023	c2-l035	algũa	algũa	u
bnf-f0024	c1-l006	algũa	algũa	u
bnf-f0024	c1-l007	algũa	algũa	u
bnf-f0024	c2-l023	algũa	algũa	u
bnf-f0024	c2-l028	algũa	algũa	u
bnf-f0024	c2-l034	algũa	algũa	u
bnf-f0024	c2-l044	algũa	algũa	u
bnf-f0025	c1-l028	dalgũa	dalgũa	u
bnf-f0025	c1-l038	algũa	algũa	u
bnf-f0025	c2b-l007	algũa	algũa	u
bnf-f0026	c2-l013	algũa	algũa	u
bnf-f0027	c2-l032	algũa	algũa	u
bnf-f0027	c2-l046	algũas	algũas	u
